Statement for account 20-45-18 90311276,Northbridge Trading Limited
Date,Description,Paid In,Paid Out,Balance
01/10/2024,CASH WDL 01OCT,,150.00,9300.00
11/10/2024,CARD PAYMENT SAGE SOFTWARE,,463.61,8836.39
15/10/2024,TFR FROM 30-96-26 41283719,4000.00,,12836.39
17/10/2024,CARD PAYMENT AMAZON BUSINESS,,43.27,12793.12
23/10/2024,CARD PAYMENT ROYAL MAIL,,80.93,12712.19
06/11/2024,CARD PAYMENT MICROSOFT,,43.10,12669.09
12/11/2024,CASH WDL 12NOV,,200.00,12469.09
15/11/2024,TFR FROM 30-96-26 41283719,4000.00,,16469.09
19/11/2024,CARD PAYMENT DHL EXPRESS,,312.37,16156.72
20/11/2024,CARD PAYMENT MICROSOFT,,282.13,15874.59
21/11/2024,CARD PAYMENT TRAVIS PERKINS,,351.23,15523.36
26/11/2024,CARD PAYMENT ROYAL MAIL,,235.92,15287.44
29/11/2024,CARD PAYMENT TRAVIS PERKINS,,99.95,15187.49
30/11/2024,CASH WDL 30NOV,,250.00,14937.49
02/12/2024,CARD PAYMENT ROYAL MAIL,,293.72,14643.77
03/12/2024,CARD PAYMENT NORTHGATE VEHICLE HIRE,,479.80,14163.97
16/12/2024,TFR FROM 30-96-26 41283719,4000.00,,18163.97
18/12/2024,CARD PAYMENT SAGE SOFTWARE,,283.08,17880.89
24/12/2024,CARD PAYMENT AMAZON BUSINESS,,312.29,17568.60
27/12/2024,CARD PAYMENT NORTHGATE VEHICLE HIRE,,80.63,17487.97
28/12/2024,CASH WDL 28DEC,,200.00,17287.97
30/12/2024,CARD PAYMENT MICROSOFT,,53.81,17234.16
02/01/2025,CARD PAYMENT MICROSOFT,,123.15,17111.01
03/01/2025,CARD PAYMENT SAGE SOFTWARE,,52.01,17059.00
06/01/2025,CARD PAYMENT AMAZON BUSINESS,,145.17,16913.83
14/01/2025,CARD PAYMENT DHL EXPRESS,,402.58,16511.25
15/01/2025,TFR FROM 30-96-26 41283719,4000.00,,20511.25
24/01/2025,CARD PAYMENT SAGE SOFTWARE,,62.19,20449.06
27/01/2025,CASH WDL 27JAN,,150.00,20299.06
31/01/2025,CARD PAYMENT TRAVIS PERKINS,,427.46,19871.60
04/02/2025,CARD PAYMENT DHL EXPRESS,,324.02,19547.58
07/02/2025,CARD PAYMENT SAGE SOFTWARE,,440.23,19107.35
17/02/2025,TFR FROM 30-96-26 41283719,4000.00,,23107.35
24/02/2025,CARD PAYMENT NORTHGATE VEHICLE HIRE,,83.04,23024.31
25/02/2025,CARD PAYMENT DHL EXPRESS,,329.95,22694.36
04/03/2025,CARD PAYMENT AMAZON BUSINESS,,320.06,22374.30
07/03/2025,CARD PAYMENT ROYAL MAIL,,196.44,22177.86
13/03/2025,CARD PAYMENT SCREWFIX,,372.28,21805.58
17/03/2025,TFR FROM 30-96-26 41283719,4000.00,,25805.58
18/03/2025,CARD PAYMENT TRAVIS PERKINS,,367.02,25438.56
20/03/2025,CARD PAYMENT SCREWFIX,,390.66,25047.90
01/04/2025,CARD PAYMENT MICROSOFT,,144.70,24903.20
08/04/2025,CARD PAYMENT SAGE SOFTWARE,,97.97,24805.23
09/04/2025,CARD PAYMENT AMAZON BUSINESS,,82.33,24722.90
09/04/2025,CASH WDL 09APR,,250.00,24472.90
15/04/2025,TFR FROM 30-96-26 41283719,4000.00,,28472.90
18/04/2025,CARD PAYMENT SAGE SOFTWARE,,460.89,28012.01
05/05/2025,CARD PAYMENT TRAVIS PERKINS,,258.94,27753.07
06/05/2025,CARD PAYMENT DHL EXPRESS,,189.08,27563.99
08/05/2025,CARD PAYMENT ROYAL MAIL,,378.33,27185.66
12/05/2025,CARD PAYMENT SAGE SOFTWARE,,253.04,26932.62
13/05/2025,CARD PAYMENT SAGE SOFTWARE,,73.35,26859.27
15/05/2025,TFR FROM 30-96-26 41283719,4000.00,,30859.27
16/05/2025,CASH WDL 16MAY,,100.00,30759.27
21/05/2025,CARD PAYMENT SAGE SOFTWARE,,410.54,30348.73
29/05/2025,CARD PAYMENT TRAVIS PERKINS,,310.15,30038.58
30/05/2025,CASH WDL 30MAY,,200.00,29838.58
03/06/2025,CARD PAYMENT NORTHGATE VEHICLE HIRE,,61.52,29777.06
06/06/2025,CARD PAYMENT SAGE SOFTWARE,,411.35,29365.71
09/06/2025,CARD PAYMENT AMAZON BUSINESS,,397.96,28967.75
10/06/2025,CARD PAYMENT MICROSOFT,,382.82,28584.93
16/06/2025,TFR FROM 30-96-26 41283719,4000.00,,32584.93
19/06/2025,CARD PAYMENT SAGE SOFTWARE,,71.76,32513.17
23/06/2025,CARD PAYMENT ROYAL MAIL,,468.14,32045.03
24/06/2025,CARD PAYMENT SAGE SOFTWARE,,82.40,31962.63
26/06/2025,CASH WDL 26JUN,,100.00,31862.63
06/07/2025,CASH WDL 06JUL,,200.00,31662.63
09/07/2025,CARD PAYMENT SAGE SOFTWARE,,28.80,31633.83
11/07/2025,CARD PAYMENT ROYAL MAIL,,238.22,31395.61
15/07/2025,CARD PAYMENT AMAZON BUSINESS,,437.16,30958.45
15/07/2025,TFR FROM 30-96-26 41283719,4000.00,,34958.45
23/07/2025,CARD PAYMENT SAGE SOFTWARE,,209.68,34748.77
24/07/2025,CARD PAYMENT TRAVIS PERKINS,,408.39,34340.38
31/07/2025,CARD PAYMENT SCREWFIX,,44.41,34295.97
07/08/2025,CARD PAYMENT AMAZON BUSINESS,,381.68,33914.29
11/08/2025,CARD PAYMENT AMAZON BUSINESS,,97.00,33817.29
15/08/2025,TFR FROM 30-96-26 41283719,4000.00,,37817.29
19/08/2025,CARD PAYMENT AMAZON BUSINESS,,135.32,37681.97
23/08/2025,CASH WDL 23AUG,,300.00,37381.97
28/08/2025,CARD PAYMENT DHL EXPRESS,,296.93,37085.04
02/09/2025,CARD PAYMENT TRAVIS PERKINS,,260.45,36824.59
03/09/2025,CASH WDL 03SEP,,250.00,36574.59
12/09/2025,CASH WDL 12SEP,,150.00,36424.59
15/09/2025,TFR FROM 30-96-26 41283719,4000.00,,40424.59
19/09/2025,CARD PAYMENT DHL EXPRESS,,201.11,40223.48
30/09/2025,CARD PAYMENT ROYAL MAIL,,223.85,39999.63
14/10/2025,CARD PAYMENT DHL EXPRESS,,390.54,39609.09
15/10/2025,TFR FROM 30-96-26 41283719,4000.00,,43609.09
16/10/2025,CARD PAYMENT NORTHGATE VEHICLE HIRE,,305.08,43304.01
17/10/2025,CARD PAYMENT SCREWFIX,,102.17,43201.84
21/10/2025,CARD PAYMENT AMAZON BUSINESS,,66.56,43135.28
22/10/2025,CARD PAYMENT SCREWFIX,,272.98,42862.30
31/10/2025,CARD PAYMENT DHL EXPRESS,,91.76,42770.54
11/11/2025,CARD PAYMENT SCREWFIX,,287.27,42483.27
17/11/2025,TFR FROM 30-96-26 41283719,4000.00,,46483.27
24/11/2025,CASH WDL 24NOV,,250.00,46233.27
25/11/2025,CARD PAYMENT DHL EXPRESS,,36.89,46196.38
26/11/2025,CARD PAYMENT ROYAL MAIL,,171.44,46024.94
28/11/2025,CARD PAYMENT SAGE SOFTWARE,,210.46,45814.48
29/11/2025,CASH WDL 29NOV,,150.00,45664.48
